OBJECTID,gcp_name,latitude,longitude,ellipsoidheight,state,district,tahsil,BRIEF_DESCRIPTION,old_description,UID,pid,gdc_username
1,23 KILO,23.730144,92.035747,118.56027,TRIPURA,DHALAI,CHHAMANU,"GCP is situated at tri-junction of roads Chowmanu, 32 Kilo & Thalchera","Red Mark dot placed on the nail on a small pillar closed to water tap post on the trijunction of Chowmanu, 32 Kilo and Thalchera, Tehsil - Chhamanu and District – Dhalai, TRIPURA. This pillar is found destroyed, hence a big nail or Bolt type big nail i",3802020001,A365JP2,Assam & Nagaland and TMMz Geo-Spatial Directorate
2,3 B CHHOTI,29.944508,73.816129,127.55164,RAJASTHAN,GANGANAGAR,GANGANAGAR,"GCP is situated in the campus of Govt. Girls Upper Primary School, 3B Chhoti","The GCP station is situated in the campus of Govt. Girls Upper Primary school, 3B Chhoti village, tehsil and Distt- Sri Ganga Nagar of state Rajasthan. Mark on GCP station. It is about 25m North of school kitchen and about 15m SE of main gate and about 4",901010001,A35FMWR,Rajasthan Geo-spatial Directorate
3,9 DWD (GULAM ALI WALA),28.581326,72.326327,73.19384,RAJASTHAN,BIKANER,KHAJUWALA,"GCP is situated in the campus of Govt. Primary School, (Gulam Ali Wala Panchayat Samiti), Anandgarh","The GCP station is situated in the campus of Govt. Primary School 9D WD / Gulam Ali Wala Panchayat Samiti, Anandgarh, tehsil- Beriyanwala, Distt- Bikaner of state Rajasthan. Mark on GCP station is about 35m West of school, about 30m North of culvert on r",904020001,A35CJH8,Rajasthan Geo-spatial Directorate
4,A.KONDURU,16.959466,80.647877,23.83435,ANDHRA PRADESH,KRISHNA,ATTAPROGADAR KONDURU,"GCP is situated in the campus of Tahsildar Office (MRO), A.Konduru.","Mark on the brass plate which is fixed in the centre of cemented pillar of dimension 67cm x 67cm And about 15cm above ground level. The pillar is constructed in the campus of Attaprogadar konduru Tehsildar (MRO) office, A.Konduru Mandal, Distt.-Krishna,",2008020001,A26R2XJ,AndhraPradesh &Telangana Geo-spatial Directorate
5,A.L.PURAM (KRISHNADEVIPETA),17.670613,82.379851,89.68333,ANDHRA PRADESH,VISAKHAPATNAM,GOLUGONDA,"GCP is situated in the campus of Zila Parishad High School, A.L.Puram.","The GCP is circular brass plate of G&RB, which is fixed on a cemented pillar of dimension 51cm x 51cm and 13cm above the ground level. The pillar is constructed N side of the premises of Zilla Parishad High School, Agency Lakshmi Puram (A.L.Puram) (Krish",2003100001,A26V4M9,AndhraPradesh &Telangana Geo-spatial Directorate
6,A.PALLIPATTI,11.91552,78.391731,334.59575,TAMIL NADU,DHARMAPURI,PAPIREDDIPATTI,"GCP is situated in cultivation field, Kottamedu Village","Survey Reference Mark is embedded in the centre of 30cmx30 cm pillar of 1mx1m concrete cemented pillar which is 20cm above the ground level. This pillar is established in the cultivation field in village Kottaimedu,A.Pallipatti of Harur Taluk in District",2407040001,A25HWW9,"Tamilnadu, Pondicherry and Andaman & Nicobar Island Geo-spatial Directorate"
7,ABIRAMAM,9.441239,78.431484,-56.12604,TAMIL NADU,RAMANATHAPURAM,KAMUDI,"GCP is situated in the premises of Inspector Office (Revenue), Abiramam","A cement concrete pillar was laid in the place of revenue inspector’s Office premises in Abiramam village, Kamudi Taluk of Ramanathapuram District in Tamil Nadu. This village is located in SH-47 which is connecting Parthibanur-Kamudi. This station is a",2929020001,A25FWCC,"Tamilnadu, Pondicherry and Andaman & Nicobar Island Geo-spatial Directorate"
8,ABOHAR,30.174025,74.135393,140.24795,PUNJAB,FIROZPUR,ABOHAR,"GCP, a village tri-junction pillar belongs to Latkhanwali Dhani, Kalyani & Churiwali","Circle and dot mark engraved and painted in red colour on the trijunction pillar of three villages namely Latkhanwali Dhani, Kalyani and Churiwali. The pillar is of size about 45cm x 45cm, about 30cm above ground level. An iron rod is fixed centrally wit",409040001,A35GP54,"Punjab, Haryana, Himachal Pardesh  & Chandigarh, Geo-spatial Directorate"
9,ABRAN,33.692719,76.58105,3729.08605,LADAKH,KARGIL,ZANSKAR,"GCP is situated in the premises of Govt. Rest House (PWD), Abran Village","The Survey Reference Mark (SRM), fixed at the centre of cement concrete pillar of dimension 30cm x 30cm and about 20cm above ground level. It is situated in the premises of Govt. Rest House (PWD), Abran Village. It is about 10m SE from SE corner of Rest",102010008,A35MRMH,Jammu & Kashmir and Ladakh Geo-spatial Directorate
10,ACHALPUR,21.246107,77.513079,296.78526,MAHARASHTRA,AMRAWATI,ACHALPUR,"GCP is situated on land having Survey No. 140, Khaltapmali","The GCP pillar is constructed with circular brass plate, fixed in a cement concrete pillar of dimension 1m x 1m and about 20cm above ground level. It is constructed on the land having Survey No. 140 of Khaltapmali, about 25m West of Akola-Achalpur road,",1706030001,A353V6G,Maharashtra and Goa Geo-spatial Directorate
11,ACHAMPET,16.399809,78.635581,384.12965,TELANGANA,MAHABUBNAGAR,ACHAMPET,"GCP is situated in the campus of Tahsildar Office, Achampet.","Circle and dot engraved on the cemented pillar with dimensions 64cm × 64cm and 13cm above from ground level. It is situated in the premises of Tahsildar (MRO) office of Achampet, Mandal – Achampet, District- Mahbubnagar (A.P). The pillar is about 1m S",1809100001,A25RW9J,AndhraPradesh &Telangana Geo-spatial Directorate
12,ACHANKOVIL,9.084835,77.124433,69.56419,KERALA,KOLLAM,PATTANAPURAM,GCP is situated  on a rock at Achankovil Ariyankavu Village,"The GCP is situated on the rock at Achankovil, Ariyankavu village, taluka-Pattanapuram, Distt.-Kollam. The station can be approached from Achankovil temple to Moonnumukku junction. Moonumukku road junction which is leading upto station. The station is ab",2314020001,A25FV34,Kerla & Lakshdweep Wing
13,ACHCHAMPETA,16.62763,80.122872,-41.4122,ANDHRA PRADESH,GUNTUR,ACHCHAMPETA,"GCP is situated in the campus of Tahsildar Office, Achchampeta.","Mark engraved at the centre of cement & concrete pillar of dimension 66cm x 66cm.  The pillar is 13 cm above ground level. The pillar is situated at the NW corner, in the campus of Tehsildar Office, Achchampeta, Taluk- Achchampeta, District-Guntur (AP).",2009010001,A26R2J4,AndhraPradesh &Telangana Geo-spatial Directorate
14,ADAMPUR,29.319172,75.456069,159.88971,HARYANA,HISAR,ADAMPUR,GCP is situated on a Stone pillar marked with 303/3,Circle and dot engraved and painted in red colour on the top of a stone pillar of dimensions about 30cm x 30cm and about 30cm above ground level.  A No.303/3 is engraved on the South face of the stone pillar. The stone pillar is situated at South of Panc,608020001,A35FQ8F,"Punjab, Haryana, Himachal Pardesh  & Chandigarh, Geo-spatial Directorate"
15,ADANKI,15.805843,79.975689,-43.78206,ANDHRA PRADESH,PRAKASAM,ADANKI,"GCP is situated in the campus of Talluk Office, Adanki.","Dot engraved on top of cemented pillar size 63cm x 63cm x 8cm above ground level in the compound of Taluk Office, Taluk- Adanki, Disst.-Prakasam (A.P). The station is about 25m. NE of NE corner of Taluk building, about 8m. S of E gate pillar, about 20m.",2010080001,A25QXRX,AndhraPradesh &Telangana Geo-spatial Directorate
16,ADAVAD,21.221446,75.448338,133.84663,MAHARASHTRA,JALGAON,CHOPDA,"GCP is situated in the campus of Zila Parishad Prathmic (Boys) School, Adavad","marked on brass plate fixed in a cement concrete pillar in the campus of Z.P Prathmic Boys School, Adavad, Taluka Chopda, District Sub-Division Amalner, District Jalgaon of Maharashtra State. The pillar is situated on field bund in Agriculture land, No",1703010001,A353Q6C,Maharashtra and Goa Geo-spatial Directorate
17,ADILABAD,19.665431,78.525453,198.4613,TELANGANA,ADILABAD,ADILABAD,"GCP is situated in the campus of DC Office, Adilabad.",Dot marked punched an on iron plate fixed cut mark centre of cemented concrete pillar dimension 25cm x 25cm.  The GCP Monument A brass dot punched inside an angle iron firmly fixed in a cemented concrete pillar dimension about 0.30m x 0.45m which s slant,1801020001,A25XWMG,AndhraPradesh &Telangana Geo-spatial Directorate
18,ADULABAZAR,20.948391,77.203686,209.91684,MAHARASHTRA,AMRAVATI,DARYAPUR,"GCP is situated in an open land, known as GAYRAN, Adulabazar","The GCP is constructed with circular brass plate, fixed in a cement concrete pillar of dimension 1m × 1m,  about 20 cm above ground level. It is situated in an open area locally known as ‘GAYRAN’ at Adulabazar, about 50m East of nala junction, about",1706050001,A352VW6,Maharashtra and Goa Geo-spatial Directorate
