gtstation_name,ellipsoidheight,ORIGIN,STATUS,longitude,latitude,state,gdc_username
C BAY/B/WATER,-46.86,,NOT SHIFTED,93.942,6.995,Andaman & Nicobar Islands,"Tamilnadu, Pondicherry and Andaman & Nicobar Island Geo-spatial Directorate"
CAMPBELL  BAY,-47.87,,SHIFTED AND DOUBTFULL,93.93391807,7.004694532,Andaman & Nicobar Islands,"Tamilnadu, Pondicherry and Andaman & Nicobar Island Geo-spatial Directorate"
KATCHAL  S.,-53.24,,NOT SHIFTED,93.403,8,Andaman & Nicobar Islands,"Tamilnadu, Pondicherry and Andaman & Nicobar Island Geo-spatial Directorate"
SINGLE  SQUARE,-48.03,,SHIFTED AND DOUBTFULL,93.9228412,7.011994943,Andaman & Nicobar Islands,"Tamilnadu, Pondicherry and Andaman & Nicobar Island Geo-spatial Directorate"
RADHAPURAM S.,-45.3608,,NOT SHIFTED,77.701,8.285,Tamilnadu,"Tamilnadu, Pondicherry and Andaman & Nicobar Island Geo-spatial Directorate"
TARASA  S.,-36.62,,SHIFTED AND DOUBTFULL,93.12541977,8.301965104,Andaman & Nicobar Islands,"Tamilnadu, Pondicherry and Andaman & Nicobar Island Geo-spatial Directorate"
CHAURA  CAMP  S.,-34.44,,NOT SHIFTED,93.12,8.308,Andaman & Nicobar Islands,"Tamilnadu, Pondicherry and Andaman & Nicobar Island Geo-spatial Directorate"
KARDEEP  S.,-38.02,,SHIFTED AND DOUBTFULL,93.54933961,8.036064229,Andaman & Nicobar Islands,"Tamilnadu, Pondicherry and Andaman & Nicobar Island Geo-spatial Directorate"
CHOTA  ONAKA,-4.73,,NOT SHIFTED,93.543,8.058,Andaman & Nicobar Islands,"Tamilnadu, Pondicherry and Andaman & Nicobar Island Geo-spatial Directorate"
KAMROTA  S.,-48.58,,NOT SHIFTED,93.545,8.037,Andaman & Nicobar Islands,"Tamilnadu, Pondicherry and Andaman & Nicobar Island Geo-spatial Directorate"
NEBDIKUNNU H.S.,60.8429,,SHIFTED AND DOUBTFULL,76.66088065,9.499013655,Kerala,Kerla & Lakshdweep Wing
VENNIYUR TRESTLE S.,-63.1472,,NOT SHIFTED,78.813,9.817,Tamilnadu,"Tamilnadu, Pondicherry and Andaman & Nicobar Island Geo-spatial Directorate"
KUTIPARAI S.,11.5268,,NOT SHIFTED,78.009,9.481,Tamilnadu,"Tamilnadu, Pondicherry and Andaman & Nicobar Island Geo-spatial Directorate"
MACHATTMALAI H.S.,319.6,,NOT SHIFTED,76.289,10.665,Kerala,Kerla & Lakshdweep Wing
RANGAMALAI H.S.,848.3347,,NOT SHIFTED,77.917,10.648,Tamilnadu,"Tamilnadu, Pondicherry and Andaman & Nicobar Island Geo-spatial Directorate"
SEMBALAVAYAL H.S.,-57.1,,NOT SHIFTED,78.921,10.043,Tamilnadu,"Tamilnadu, Pondicherry and Andaman & Nicobar Island Geo-spatial Directorate"
PUTAGARAM TRESTLE S.,-70.9,,SHIFTED AND DOUBTFULL,79.48289278,10.94224984,Tamilnadu,"Tamilnadu, Pondicherry and Andaman & Nicobar Island Geo-spatial Directorate"
RAMKRISHNAPUR,-27.13,,NOT SHIFTED,92.57,10.697,Andaman & Nicobar Islands,"Tamilnadu, Pondicherry and Andaman & Nicobar Island Geo-spatial Directorate"
HUT BAY JE OFFICE,-57.02,,NOT SHIFTED,92.56,10.586,Andaman & Nicobar Islands,"Tamilnadu, Pondicherry and Andaman & Nicobar Island Geo-spatial Directorate"
DHARAMPATNA H.S.,-59.5926,,NOT SHIFTED,75.461,11.767,Kerala,Kerla & Lakshdweep Wing
CAMMANDUBETTA h.s.,1751.1917,,NOT SHIFTED,76.723,11.273,Tamilnadu,"Tamilnadu, Pondicherry and Andaman & Nicobar Island Geo-spatial Directorate"
MORUR H.S.,406.739,,NOT SHIFTED,77.89,11.405,Tamilnadu,"Tamilnadu, Pondicherry and Andaman & Nicobar Island Geo-spatial Directorate"
VALLAM TRESTLE S.,3.2797,,NOT SHIFTED,79.519,11.658,Tamilnadu,"Tamilnadu, Pondicherry and Andaman & Nicobar Island Geo-spatial Directorate"
RAMAPURAM H.S,3.2797,,NOT SHIFTED,79.519,11.658,Tamilnadu,"Tamilnadu, Pondicherry and Andaman & Nicobar Island Geo-spatial Directorate"
KALTANG  S.,0.98,,NOT SHIFTED,92.712,11.803,Andaman & Nicobar Islands,"Tamilnadu, Pondicherry and Andaman & Nicobar Island Geo-spatial Directorate"
PORT  BLAIR  S.,29.82,,NOT SHIFTED,92.721,11.649,Andaman & Nicobar Islands,"Tamilnadu, Pondicherry and Andaman & Nicobar Island Geo-spatial Directorate"
RADHA  NAGER  S.,-52.95,,NOT SHIFTED,92.954,11.988,Andaman & Nicobar Islands,"Tamilnadu, Pondicherry and Andaman & Nicobar Island Geo-spatial Directorate"
MANGALORE S.,-32.1408,,NOT SHIFTED,74.844,12.872,Karnataka,Karnataka Geo-spatial Directorate
TOLURMUKRIBELTA H.S,1299.7448,,NOT SHIFTED,75.84,12.634,Karnataka,Karnataka Geo-spatial Directorate
ADHIBELTA H.S,793.7378,,NOT SHIFTED,76.777,12.639,Karnataka,Karnataka Geo-spatial Directorate
KOPPABETTA H.S,770.5503,,NOT SHIFTED,77.495,12.364,Karnataka,Karnataka Geo-spatial Directorate
ANCHETTIDURGA H.S,886.6352,,SHIFTED AND DOUBTFULL,77.88980074,12.59007991,Tamilnadu,"Tamilnadu, Pondicherry and Andaman & Nicobar Island Geo-spatial Directorate"
AVIRIMEDU H.S,58.0207,,NOT SHIFTED,79.91,12.455,Tamilnadu,"Tamilnadu, Pondicherry and Andaman & Nicobar Island Geo-spatial Directorate"
BADAMVALA  S.,-18.09,,NOT SHIFTED,92.872,12.76,Andaman & Nicobar Islands,"Tamilnadu, Pondicherry and Andaman & Nicobar Island Geo-spatial Directorate"
MAYA  BONDER  S.,-38.5,,NOT SHIFTED,92.9,12.925,Andaman & Nicobar Islands,"Tamilnadu, Pondicherry and Andaman & Nicobar Island Geo-spatial Directorate"
HUGADI H.S,803.6489,,NOT SHIFTED,75.193,13.905,Karnataka,Karnataka Geo-spatial Directorate
