OBJECTID,sbm_type,latitude,longitude,Z,state,district,tahsil,gdc_username,old_description
1,Type 'B',11.838611,92.653889,0,Andaman & Nicobar Islands,SOUTH ANDAMAN,FERARGUNJ,"Tamilnadu, Pondicherry and Andaman & Nicobar Island Geo-spatial Directorate","Type 'B' at Bench Mark at Jirkatang-2 embedded about 0.70m below Ground Level in the premises of Jirkatang Police Out Post. The Bench Mark is Fully made of Cement and Concrete fixed with 2'*2'*2' Slab AD 2005 of Kota Stone 6"" below with 0.25*0.25m Dia Up"
2,Type 'B',12.041583,92.982556,0,Andaman & Nicobar Islands,SOUTH ANDAMAN,PORT BLAIR,"Tamilnadu, Pondicherry and Andaman & Nicobar Island Geo-spatial Directorate","Type'B' at Swaraj Dweep, interred 0.60m below Ground Level in the Compound of ALHW Harbour Office, Havelock. It is situated S Corner of Boundary Wall near Entrance Gate. The Distance and bearing to the Surrounding Objects are:"
3,Type 'M',13.701,80.018,0,Andhra Pradesh,NELLORE,SULLURPETA,AndhraPradesh &Telangana Geo-spatial Directorate,"Type 'M' (SBM) in MR office in SULLURPET. It is about 30m N of flag post, about 20m NE of main gate of MR office and about 6m W of Sub jail wall."
4,Type 'B',10.588061,92.542272,0,Andaman & Nicobar Islands,SOUTH ANDAMAN,LITTLE ANDAMAN,"Tamilnadu, Pondicherry and Andaman & Nicobar Island Geo-spatial Directorate","Engraved on Steel Plate fixed with Cement Concrete Pillar of Dimension 1m*1m embedded 0.40m below Ground in the Compound of Andaman Harbour Works Guest House, Hut Bay."
5,Type 'B',10.67175,92.575778,0,Andaman & Nicobar Islands,SOUTH ANDAMAN,LITTLE ANDAMAN,"Tamilnadu, Pondicherry and Andaman & Nicobar Island Geo-spatial Directorate","Type 'B' Steel Plate fixed with Cement and Concrete Pillar Dimension 1m*1m embedded 0.40m below Ground Level. It is situated in the Middle of Coconut Orchard at Bulter Bay, about 8m S of Hut Bay V.K.Puram Road."
6,Type 'B',15.725,77.223,0,Andhra Pradesh,KURNOOL,ADONI,AndhraPradesh &Telangana Geo-spatial Directorate,"Type 'B' at Kuppagully Forest  Rest House, Kuppagully, Taluka-Adoni, Distt-. Kurnool (AP), about 2.0km from the road Junction of Raichur-Adoni road and Kuppagully Railway Station road, interred 0.60m below ground level. The distances and bearings to the"
7,Type 'B',15.62,77.278,0,Andhra Pradesh,KURNOOL,ADONI,AndhraPradesh &Telangana Geo-spatial Directorate,"Type 'B' at  TBP Office compound at  Adoni at office of the executive engineer PWD Tung Bhadra Project Division Adoni in N compound of office of Executive Engineer cum residential quarter of their staff Taluk Adoni, Distt. Kurnool. Interred 0.60m below g"
8,Type 'B',15.62,77.273,0,Andhra Pradesh,KURNOOL,ADONI,AndhraPradesh &Telangana Geo-spatial Directorate,"Type 'B' at Sub Magistrate Court Adoni, situated in the SW compound of Tahsil office of Sub Magistrate Court & very close to the court of Senior Civil Judge cum Assistant Session Judge, Adoni, interred 0.60m below ground level. The distances  & bearings"
9,Type 'B',15.715,73.797,0,Goa,NORTH GOA,PERNEM,Maharashtra and Goa Geo-spatial Directorate,"Type 'B' at PWD Rest house Parnem, interred 0.60m below ground level in the grassy sloping land at NW corner of the compound of PWD Rest house at Parnem pedne. It is 3.10m E from East wall and 2.14m from Northern compound wall of the Rest house, about 45"
10,Type 'B',15.280306,73.96325,0,Goa,SOUTH GOA,SASASHTI,Maharashtra and Goa Geo-spatial Directorate,"Type 'B' at Margaon in P&T Office Consists of Brass Plate Fixed in Cemented embedded 1.05m below Ground Level in Open Space on E Compound of General Post, Telegraph Office at W Edge of Panaji-Margaon Bally Road. It is at N Side of Municipal Park infront"
11,Type 'B',14.944,74.06,0,Goa,SOUTH GOA,KANKON,Maharashtra and Goa Geo-spatial Directorate,Type 'B' at Nirakar Maiden Mashem in the compound of a huge ground known as Nirakar Maidan on SW side of Margaon-Karwar road just near the junction of above road with road leading to Lohiem village The distance & bearing of surrounding objects are -
12,Type 'B',14.975,74.095,0,Goa,SOUTH GOA,KANKON,Maharashtra and Goa Geo-spatial Directorate,"Type 'B' at Poinguinim, interred 0.50m below ground level in the NW corner of a big lawn having green grass infront of Forest Rest house at Poinguinim at W edge of Karwar-Margaon road. The distance & bearing of surrounding objects are- SE corner of Rest"
13,Type 'B',15.153,74.017,0,Goa,SOUTH GOA,QUEPEM,Maharashtra and Goa Geo-spatial Directorate,Type'B' at Bally.Type 'B' at Dattatarai temple of Bally village Embedded 0.30m below ground level infront of field bund SSE of a small Dattatarai temple on W edge of Karwar- Margaon road and infront of a cemented  water tank having stairs downward at E e
14,Type 'B',15.094,74.033,0,Goa,SOUTH GOA,QUEPEM,Maharashtra and Goa Geo-spatial Directorate,"Type 'B' at Pissonai (Padi), interred 0.40m below ground level in Western portion of compound of Forest range office Residential quarters, 9.2m E from centre of Margaon-Karwar road and S side of Gram Panchayat office Barsem Quepem The distance & bearing"
15,Type 'B',13.281667,93.025278,0,Andaman & Nicobar Islands,NORTH & MIDDLE ANDAMAN,DIGLIPUR,"Tamilnadu, Pondicherry and Andaman & Nicobar Island Geo-spatial Directorate","Type 'B' Bench Mark at Aerial Bay Jetty Marked on the Brass Plate fixed in 8""*8"" and Depth 8"" an 1m*1m Square Cemented Plate from which below Ground Level in the Premises of Aerial Bay Jetty Compound (Andaman and Lakshdweep Harbour Works), about 9m SE of"
16,Type 'B',28.735,77.157,0,Delhi,NORTH,ALIPUR,Delhi Geo-spatial and International Boundary Directorate,Type 'B' at Delhi (Mokarba crossing) interred 0.60m below  ground level close to W compound wall of office of  Assistant Engineer PWD Sub Division situated at SE side  of Mokarba crossing about 4m below road crossing level.  It is between the road to Aza
17,Type 'B',28.8,77.138,0,Delhi,NORTH,ALIPUR,Delhi Geo-spatial and International Boundary Directorate,"Type 'B' at PWD office, Alipur interred 0.70m below  ground level near centre of northern compound of office  of Assistant Engineer Division - 24 at Alipur (Previously it  was rest house). It is on west side of old portion of GT road and about 100m N of"
18,Type 'B',15.247472,78.505778,0,Andhra Pradesh,KURNOOL,ALLAGADDA,AndhraPradesh &Telangana Geo-spatial Directorate,Type 'B' at Battuluru co- opreative sociaty Godown cum Veterinary Hospital at Battuluru  Kunool(A.P.). A zink tablet fixed in a solid concrete block of masonary 1.500m below ground level in the co-oprative Sociaty godown cum Veterinary Hospital is situated
19,Type 'B',16.586278,82.015361,0,Andhra Pradesh,EAST GODAVARI,AMBAJIPETA,AndhraPradesh &Telangana Geo-spatial Directorate,Type 'B' Engraved and situated type-B at R&D office at Amlapuram. It is about 3m NW wall of compound SE side. It is about 10m NW from bike cycle parking stand at office back side. It is located at back side of R&D office. It is about 2m SW from corner room
20,Type 'B',13.591028,79.320444,0,Andhra Pradesh,CHITTOOR,CHANDRAGIRI,AndhraPradesh &Telangana Geo-spatial Directorate,"Type-'B' benchmark at MRO office chandragiri Tirupathi. It is about 0.5m from boundary wall of the MRO office premises in S about 6m from rest hall in W direction, about 3.5, from GCP pillr in NE direction, about 60m from the entrance gate of MRO office"
21,Type 'P',28.688,77.218,0,Delhi,CENTRAL,CIVIL LINES,Delhi Geo-spatial and International Boundary Directorate,"Type 'P' at Delhi consists of a stone monolith 0.60m  square at base and 0.90m high, the upper 10cm being  dressed to the form of a frustrum of a Pyramid terminating   in a square marked by a circle and dot filled in with led,  the stone rests in the bed"
22,Type 'B',16.072167,78.908194,0,Andhra Pradesh,KURNOOL,SRISAILAM,AndhraPradesh &Telangana Geo-spatial Directorate,"Type 'B' Sundipeta (Srisailam Dam East). It is 0.45m below the Ground Level in NE compound of Nagarjunasagar Srisaulem administrative Complex Srisalem Tiger Reserves of Forest Department the distance and bearing to the surrounding objects are:-
N gate of"
23,Type 'P',14.682639,77.601917,0,Andhra Pradesh,ANANTHAPUR,ANANTAPUR,AndhraPradesh &Telangana Geo-spatial Directorate,"Type'P' at Anantpur.Type 'P' BM at Anantpur. It is situated in the NW corner of the compound of collector office, Anantpur, on W side of Banglore-Kurnool raod. The distnaces & beraings of the surrounding objects are: NW corner of District Minorities Welf"
24,Type 'B',16.426278,79.53475,0,Andhra Pradesh,GUNTUR,DURGI,AndhraPradesh &Telangana Geo-spatial Directorate,"Type ""B"" at Durgi (Guntur), district Narsimha Rao, intered 0.5m below ground level in the compound of MRO office , Durgi, dist. Narsimha Rao, AP. The distance and bearing to the surrounding objects are: 5.8m & 354 deg S from northern pillar of new constr"
25,Type 'B',14.740361,79.062333,0,Andhra Pradesh,CUDDAPAH,BADVEL,AndhraPradesh &Telangana Geo-spatial Directorate,"Type 'B' at Badvel MRO office 0.6 below ground level in the premises of tehsildar office Badvel, about 25m E of the tehsildar office, about 2m E of a thin and long tower, and about 08m N of the NE corner of the new building under contruction and 4m W of th"
